ID,topic,subtopic,Category,level,Hours,content,glossary,content (es)
1.1.NoS,1,1.1,Nature of Science,core,,Making quantitative measurements with replicates to ensure reliability—definite and multiple proportions. (3.1),,Realizar mediciones cuantitativas con repeticiones para asegurar la fiabilidad: proporciones definidas y múltiples.
1.1.U1,1,1.1,Understandings,core,,"Atoms of different elements combine in fixed ratios to form compounds, which have different properties from their component elements.","Stoichiometry,Compound,Chemical element,Element,Diatomic molecule","Los átomos de diferentes elementos se combinan en proporciones fijas para formar compuestos, que tienen propiedades distintas de las de los elementos que los componen."
1.1.U2,1,1.1,Understandings,core,,Mixtures contain more than one element and/or compound that are not chemically bonded together and so retain their individual properties.,"Solution,Solubility,Compound,Chemical element,Element",Las mezclas contienen más de un elemento y/o compuesto que no están unidos químicamente y por eso mantienen sus propiedades individuales.
1.1.U3,1,1.1,Understandings,core,,Mixtures are either homogeneous or heterogeneous.,"Solution,Saturated solution,Homogeneous mixture,Miscible liquids,Immiscible liquids",Las mezclas son homogéneas o heterogéneas
1.1.AS1,1,1.1,Applications and skills,core,,Deduction of chemical equations when reactants and products are specified.,"Word equation,Water of crystallisation,Reactant,Product,Anhydrous salt",Deducción de ecuaciones químicas dados los reactivos y los productos.
1.1.AS2,1,1.1,Applications and skills,core,,"Application of the state symbols (s), (l), (g) and (aq) in equations.","Word equation,Water of crystallisation,State symbols,Solvent,Solution,Solubility,Solid,Phase","Aplicación de los símbolos de estado (s), (l), (g) y (aq) en ecuaciones."
1.1.AS3,1,1.1,Applications and skills,core,,Explanation of observable changes in physical properties and temperature during changes of state.,"Atmospheric pressure,Volatility,Temperature,Change of state,Solubility,Diffusion,Solid,Saturated solution,Celsius scale (of temperature),Phase,Heating curve",Explicación de los cambios observables de las propiedades físicas y la temperatura durante los cambios de estado.
1.1.G1,1,1.1,Guidance,core,,Balancing of equations should include a variety of types of reactions.,"Balanced equation,Stoichiometry,Chemical reaction,Reactant,Coefficient (in a chemical equation),Product",El ajuste de ecuaciones debe incluir diferentes tipos de reacciones.
1.1.G2,1,1.1,Guidance,core,,"Names of the changes of state—melting, freezing, vaporization (evaporation and boiling), condensation, sublimation and deposition—should be covered.","Volatility,Sublimation,Change of state,Solid,Freezing,Freezing point,Liquid,Melting,Phase,Solvation,Boiling point,Melting point,Hydrated ion,Hydrate,Hydration (of ions),Heating curve,Boiling,Condensation (relating to states of matter),Enthalpy of vaporization,Evaporation","Deben estudiar los nombres de los cambios de estado: fusión, congelación, vaporización (evaporación y ebullición), condensación, sublimación y deposición."
1.1.G3,1,1.1,Guidance,core,,The term “latent heat” is not required.,"Heating curve,Latent heat",No se requiere el uso del término “calor latente”.
1.1.G4,1,1.1,Guidance,core,,Names and symbols of elements are in the data booklet in section 5.,Element,En la sección 5 del cuadernillo de datos están los nombres y símbolos de los elementos
1.1.IM1,1,1.1,International-mindedness,core,,"Chemical symbols and equations are international, enabling effective communication amongst scientists without need for translation.",Chemical symbol,Los símbolos químicos y las ecuaciones son internacionales; esto permite la comunicación efectiva entre los científicos sin necesidad de traducción.
1.1.IM2,1,1.1,International-mindedness,core,,IUPAC (International Union of Pure and Applied Chemistry) is the world authority in developing standardized nomenclature for both organic and inorganic compounds.,"Compound,Nomenclature",La autoridad mundial que desarrolla y estandariza la nomenclatura de los compuestos orgánicos e inorgánicos es la IUPAC o International Union of Pure and Applied Chemistry (Unión Internacional de Química Pura y Aplicada).
1.1.ToK1,1,1.1,Theory of Knowledge,core,,Chemical equations are the “language” of chemistry. How does the use of universal languages help and hinder the pursuit of knowledge?,,Las ecuaciones químicas son el “lenguaje” de la química. ¿De qué forma el uso de lenguajes universales ayuda y dificulta la búsqueda del conocimiento?
1.1.ToK2,1,1.1,Theory of Knowledge,core,,"Lavoisier’s discovery of oxygen, which overturned the phlogiston theory of combustion, is an example of a paradigm shift. How does scientific knowledge progress?","Combustion,Combustion","El descubrimiento del oxígeno, que invalidó la teoría del flogisto de la combustión, es un ejemplo de cambio de paradigma. ¿Cómo avanza el conocimiento científico?"
1.1.Uz1,1,1.1,Utilization,core,,Refrigeration and how it is related to the changes of state.,Change of state,Refrigeración y su relación con los cambios de estado
1.1.Uz2,1,1.1,Utilization,core,,Atom economy.,"By-products,Atom economy",Eficiencia atómica
