ID,name,name (es),topic,theme,option,level,Category,Hours,essential idea,essential idea (es),subsubtopic
1.1,Introduction to the particulate nature of matter and chemical change,Introducción a la naturaleza corpuscular de la materia y al cambio químico,1,stoichiometric relationships,0 checked out of 1,core,Essential idea,2.5,Physical and chemical properties depend on the ways in which different atoms combine.,Las propiedades físicas y químicas dependen de la forma en que se combinen los distintos átomos.,"1.1.NoS,1.1.U1,1.1.U2,1.1.U3,1.1.AS1,1.1.AS2,1.1.AS3,1.1.G1,1.1.G2,1.1.G3,1.1.G4,1.1.IM1,1.1.IM2,1.1.ToK1,1.1.ToK2,1.1.Uz1,1.1.Uz2,1.1.Uz3,1.1.Aims1"
1.2,The mole concept,El concepto de mol,1,stoichiometric relationships,0 checked out of 1,core,Essential idea,5.0,The mole makes it possible to correlate the number of particles with the mass that can be measured,El mol permite relacionar el número de partículas con la masa que se puede medir.,"1.2.NoS,1.2.U1,1.2.U2,1.2.U3,1.2.U4,1.2.AS1,1.2.AS2,1.2.AS3,1.2.AS4,1.2.AS5,1.2.G1,1.2.G2,1.2.IM1,1.2.IM2,1.2.ToK1,1.2.Uz1,1.2.Uz2,1.2.Aims1,1.2.Aims2"
1.3,Reacting masses and volumes,Masas y volúmenes reaccionantes,1,stoichiometric relationships,0 checked out of 1,core,Essential idea,6.0,Mole ratios in chemical equations can be used to calculate reacting ratios by mass and gas volume.,Las relaciones molares en las ecuaciones químicas se pueden usar para calcular las relaciones de reacción en masa y volumen de gas.,"1.3.NoS,1.3.U1,1.3.U2,1.3.U3,1.3.U4,1.3.U5,1.3.U6,1.3.AS1,1.3.AS2,1.3.AS3,1.3.AS4,1.3.AS5,1.3.AS6,1.3.AS7,1.3.AS8,1.3.G1,1.3.G2,1.3.G3,1.3.G4,1.3.IM1,1.3.ToK1,1.3.ToK2,1.3.Uz1,1.3.Uz2,1.3.Aims1,1.3.Aims2,1.3.Aims3"
2.1,The nuclear atom,El átomo nuclear,2,atomic structure,0 checked out of 1,core,Essential idea,3.0,"The mass of an atom is concentrated in its minute, positively charged nucleus.","La masa del átomo se concentra en su diminuto núcleo, cargado positivamente.","2.1.NoS1,2.1.NoS2,2.1.U1,2.1.U2,2.1.U3,2.1.AS1,2.1.AS2,2.1.G1,2.1.G2,2.1.G3,2.1.IM1,2.1.ToK1,2.1.ToK2,2.1.Uz1,2.1.Uz2,2.1.Aims1,2.1.Aims2"
2.2,Electron configuration,Configuración electrónica,2,atomic structure,0 checked out of 1,core,Essential idea,3.0,The electron configuration of an atom can be deduced from its atomic number.,La configuración electrónica de un átomo se puede deducir a partir de su número atómico.,"2.2.NoS1,2.2.NoS2,2.2.NoS3,2.2.U1,2.2.U2,2.2.U3,2.2.U4,2.2.U5,2.2.U6,2.2.AS1,2.2.AS2,2.2.AS3,2.2.AS4,2.2.AS5,2.2.G1,2.2.G2,2.2.G3,2.2.G4,2.2.G5,2.2.IM1,2.2.ToK1,2.2.ToK2,2.2.Uz1,2.2.Uz2,2.2.Uz3,2.2.Aims1"
3.1,Periodic table,Tabla periódica,3,periodicity,0 checked out of 1,core,Essential idea,1.0,The arrangement of elements in the periodic table helps to predict their electron configuration.,El ordenamiento de los elementos en la tabla periódica ayuda a predecir su configuración electrónica.,"3.1.NoS,3.1.U1,3.1.U2,3.1.U3,3.1.U4,3.1.U5,3.1.AS1,3.1.G1,3.1.G2,3.1.IM1,3.1.ToK1,3.1.Uz1,3.1.Aims1,3.1.Aims2,3.1.Aims3"
3.2,Periodic trends,Tendencias periódicas,3,periodicity,0 checked out of 1,core,Essential idea,5.0,Elements show trends in their physical and chemical properties across periods and down groups.,Los elementos presentan tendencias en cuanto a sus propiedades físicas y químicas a lo largo de los períodos y hacia abajo de los grupos.,"3.2.NoS,3.2.U1,3.2.U2,3.2.U3,3.2.AS1,3.2.AS2,3.2.AS3,3.2.G1,3.2.G2,3.2.IM1,3.2.ToK1,3.2.ToK2,3.2.Aims1,3.2.Aims2,3.2.Aims3,3.2.Aims4"
4.1,Ionic bonding and structure,Enlace iónico y estructura,4,chemical bonding and structure,0 checked out of 1,core,Essential idea,2.0,Ionic compounds consist of ions held together in lattice structures by ionic bonds.,Los compuestos iónicos consisten en iones mantenidos juntos por enlaces iónicos en estructuras de red.,"4.1.NoS,4.1.U1,4.1.U2,4.1.U3,4.1.U4,4.1.U5,4.1.AS1,4.1.AS2,4.1.G1,4.1.ToK1,4.1.ToK2,4.1.Uz1,4.1.Aims1,4.1.Aims2,4.1.Aims3"
4.2,Covalent bonding,Enlace covalente,4,chemical bonding and structure,0 checked out of 1,core,Essential idea,3.0,Covalent compounds form by the sharing of electrons.,Los compuestos covalentes se forman compartiendo electrones.,"4.2.NoS1,4.2.NoS2,4.2.U1,4.2.U2,4.2.U3,4.2.U4,4.2.AS1,4.2.G1,4.2.G2,4.2.Uz1,4.2.Aims1"
4.3,Covalent structures,Estructuras covalentes,4,chemical bonding and structure,0 checked out of 1,core,Essential idea,5.0,Lewis (electron dot) structures show the electron domains in the valence shell and are used to predict molecular shape.,Las estructuras de Lewis (representación de electrones mediante puntos) representan los dominios electrónicos de la capa de valencia y se usan para predecir la forma molecular.,"4.3.NoS,4.3.U1,4.3.U2,4.3.U3,4.3.U4,4.3.U5,4.3.U6,4.3.AS1,4.3.AS2,4.3.AS3,4.3.AS4,4.3.AS5,4.3.AS6,4.3.G1,4.3.G2,4.3.G3,4.3.G4,4.3.ToK1,4.3.Aims1"
